Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
159,Louisville,33,20,13,.606,18.51,11.78,10,8,14,4,5,6,2460,2238,,1340,828,1908,.434,285,834,.342,519,670,.775,338,1262,442,147,97,407,569
160,Loyola (IL),33,20,13,.606,4.26,-0.31,12,6,13,4,5,6,2170,1996,,1320,805,1633,.493,201,550,.365,359,539,.666,187,986,448,213,73,393,456
161,Loyola Marymount,31,20,11,.645,3.16,1.27,8,8,11,4,7,6,2094,1951,,1240,744,1627,.457,146,460,.317,460,618,.744,291,1005,413,224,93,396,556
162,Loyola (MD),32,11,21,.344,-8.91,-4.37,7,11,7,5,3,16,2332,2477,,1295,842,1836,.459,210,616,.341,438,617,.710,292,997,448,278,73,444,573
163,Maine,32,5,27,.156,-14.85,-3.94,3,13,3,9,2,18,1988,2271,,1310,747,1728,.432,201,647,.311,293,452,.648,280,1015,471,239,93,460,566
164,Manhattan,32,11,21,.344,-12.74,-7.18,8,10,4,9,4,11,1833,2011,,1285,651,1606,.405,219,659,.332,312,534,.584,326,1026,360,220,75,487,672
165,Marist,31,12,19,.387,-9.31,-7.34,7,11,4,7,6,11,2086,2147,,1250,739,1647,.449,245,675,.363,363,530,.685,241,967,377,172,53,387,583
166,Marquette,33,24,9,.727,16.19,7.55,12,6,16,3,6,4,2565,2280,,1335,869,1895,.459,311,791,.393,516,680,.759,317,1249,450,159,141,455,615
167,Marshall,33,19,14,.576,-1.27,0.10,11,7,12,3,6,10,2647,2692,,1335,925,2096,.441,332,955,.348,465,640,.727,286,1083,475,302,143,414,608
168,Maryland-Baltimore County,34,21,13,.618,-5.62,-5.62,11,5,13,4,6,7,2296,2177,,1400,820,1893,.433,261,807,.323,395,572,.691,296,1145,452,268,83,428,578
169,Maryland-Eastern Shore,32,7,25,.219,-24.04,-7.74,5,11,5,7,2,17,1833,2291,,1285,666,1705,.391,172,610,.282,329,489,.673,264,990,361,186,70,431,575
170,Maryland,32,22,10,.688,16.75,10.47,13,7,15,3,6,5,2283,2082,,1280,807,1777,.454,232,657,.353,437,584,.748,351,1252,423,139,151,420,495
171,Massachusetts-Lowell,32,15,17,.469,-8.06,-6.73,7,9,8,5,5,12,2456,2420,,1290,875,1852,.472,246,721,.341,460,639,.720,293,1115,500,181,85,447,589
172,Massachusetts,32,11,21,.344,-2.71,0.14,4,14,9,8,1,11,2263,2354,,1290,808,1833,.441,256,732,.350,391,574,.681,342,1122,469,154,93,445,643
173,McNeese State,31,9,22,.290,-14.07,-5.81,5,13,7,8,2,14,2149,2303,,1245,760,1675,.454,168,547,.307,461,647,.713,310,1054,429,146,97,450,467
174,Memphis,34,21,13,.618,10.61,4.73,11,7,16,2,3,7,2741,2541,,1370,958,2122,.451,252,776,.325,573,806,.711,423,1302,527,266,134,510,703
175,Mercer,31,11,20,.355,-2.50,0.12,6,12,9,6,2,12,2248,2246,,1245,787,1746,.451,228,663,.344,446,648,.688,307,1058,393,207,80,407,557
176,Miami (FL),32,14,18,.438,10.08,9.39,5,13,11,5,0,10,2297,2275,,1285,805,1849,.435,268,805,.333,419,570,.735,291,1060,413,212,100,372,465
177,Miami (OH),32,15,17,.469,1.10,2.63,7,11,10,5,4,10,2267,2233,,1285,777,1846,.421,269,831,.324,444,626,.709,353,1190,349,193,88,413,581
178,Michigan State,33,27,6,.818,25.56,12.01,16,4,15,1,8,4,2615,2168,,1330,922,1889,.488,273,712,.383,498,664,.750,357,1352,631,176,180,428,565
179,Michigan,33,28,5,.848,22.78,10.45,15,5,17,1,7,4,2333,1926,,1320,855,1894,.451,266,757,.351,357,514,.695,277,1162,458,204,138,292,466
180,Middle Tennessee,32,11,21,.344,-5.77,1.77,8,10,9,5,2,11,2141,2313,,1280,778,1858,.419,212,650,.326,373,551,.677,382,1228,353,190,85,512,582
181,Milwaukee,31,9,22,.290,-8.81,-2.41,4,14,6,8,3,12,2146,2315,,1245,765,1820,.420,237,692,.342,379,508,.746,288,1095,355,145,94,382,579
182,Minnesota,34,21,13,.618,12.82,11.20,9,11,14,3,2,9,2407,2352,,1365,840,1922,.437,178,554,.321,549,808,.679,388,1260,504,163,136,407,550
183,Mississippi State,33,23,10,.697,16.75,9.54,10,8,14,3,5,5,2552,2314,,1330,911,1929,.472,284,752,.378,446,624,.715,385,1183,468,267,164,439,564
184,Mississippi Valley State,32,6,26,.188,-22.43,-6.95,4,14,6,6,0,20,2058,2498,,1285,730,1923,.380,172,554,.310,426,647,.658,378,1165,361,176,70,415,570
185,Mississippi,32,20,12,.625,13.23,8.20,10,8,11,5,6,5,2413,2252,,1285,847,1844,.459,261,729,.358,458,585,.783,315,1098,459,234,116,405,579
186,Missouri-Kansas City,32,11,21,.344,-6.22,-1.16,6,10,8,5,3,13,2220,2341,,1290,774,1794,.431,259,728,.356,413,590,.700,261,966,352,232,90,391,647
187,Missouri State,32,16,16,.500,-1.01,-0.85,10,8,11,4,5,9,2206,2157,,1285,774,1714,.452,224,649,.345,434,627,.692,270,1000,354,221,127,385,540
188,Missouri,32,15,17,.469,8.91,9.48,5,13,9,7,2,8,2150,2168,,1290,758,1764,.430,264,727,.363,370,526,.703,345,1130,354,149,53,448,625
189,Monmouth,35,14,21,.400,-10.49,-4.66,10,8,6,6,5,11,2286,2490,,1420,794,1915,.415,168,565,.297,530,772,.687,360,1224,379,237,101,502,697
190,Montana State,32,15,17,.469,-7.80,-5.71,11,9,9,4,4,12,2502,2552,,1280,858,1882,.456,306,818,.374,480,651,.737,292,1083,491,169,46,394,567
191,Montana,34,26,8,.765,1.53,-5.81,16,4,12,2,9,5,2610,2323,,1365,953,1919,.497,282,738,.382,422,612,.690,286,1142,498,222,101,406,637
192,Morehead State,33,13,20,.394,-7.79,-1.82,8,10,7,7,4,11,2431,2543,,1335,855,1993,.429,260,762,.341,461,654,.705,357,1177,440,186,137,402,561
193,Morgan State,30,9,21,.300,-15.84,-10.48,4,12,6,7,2,13,2159,2304,,1210,757,1919,.394,168,521,.322,477,669,.713,397,1078,358,230,48,401,614
194,Mount St. Mary's,31,9,22,.290,-14.33,-5.78,6,12,4,9,5,13,2092,2286,,1240,733,1755,.418,223,723,.308,403,594,.678,293,1036,354,146,107,410,576
195,Murray State,31,27,4,.871,8.75,-4.46,16,2,15,1,10,3,2582,2101,,1240,938,1890,.496,242,695,.348,464,629,.738,333,1172,561,235,142,376,505
196,Navy,31,12,19,.387,-9.93,-3.84,8,10,8,6,4,13,2061,2250,,1240,732,1786,.410,208,656,.317,389,544,.715,359,1160,399,167,58,437,534
197,Omaha,32,21,11,.656,-2.20,-3.27,13,3,10,2,9,8,2523,2454,,1290,950,1998,.475,282,719,.392,341,473,.721,273,1047,409,180,61,304,486
198,Nebraska,34,18,16,.529,15.91,11.79,6,14,12,5,2,9,2434,2257,,1365,862,2016,.428,258,762,.339,452,650,.695,354,1205,431,249,147,330,547
199,Nevada-Las Vegas,31,17,14,.548,1.88,0.78,11,7,10,6,6,5,2276,2242,,1250,791,1852,.427,251,745,.337,443,647,.685,408,1204,399,184,115,401,556
