Rk,School,G,W,L,W.L.,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,X.,MP,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,TRB,AST,STL,BLK,TOV,PF
259,Sacramento State,29,14,15,0.483,-8.99,-6.61,8,12,9,5,4,10,2052,2016,,1170,754,1694,0.445,152,482,0.315,392,569,0.689,297,997,404,227,98,374,538
260,Sacred Heart,32,15,17,0.469,-7.42,-7.64,11,7,10,3,4,13,2558,2509,,1285,885,1926,0.46,243,681,0.357,545,722,0.755,354,1230,471,170,132,465,572
261,Saint Francis (PA),31,18,13,0.581,-8.24,-6.45,12,6,12,3,6,10,2369,2334,,1240,831,1906,0.436,233,677,0.344,474,663,0.715,403,1179,387,212,90,380,564
262,Saint Joseph's,31,13,18,0.419,-0.08,2.02,6,12,10,5,2,11,2176,2241,,1245,741,1821,0.407,267,821,0.325,427,573,0.745,245,1075,374,172,102,288,456
263,Saint Louis,31,19,12,0.613,4.39,1.84,10,8,15,2,4,8,2090,2011,,1240,737,1772,0.416,177,580,0.305,439,733,0.599,428,1233,400,230,125,414,561
264,Saint Mary's (CA),31,20,11,0.645,12.25,3.8,11,5,14,3,5,5,2277,2015,,1245,827,1750,0.473,236,623,0.379,387,523,0.74,312,1083,324,185,78,324,537
265,Saint Peter's,32,10,22,0.313,-11.82,-6.07,6,12,7,7,2,14,2012,2196,,1305,707,1639,0.431,184,567,0.325,414,570,0.726,293,1031,301,172,177,488,614
266,Sam Houston State,31,21,10,0.677,-2.46,-5.89,16,2,12,2,8,8,2331,2146,,1265,835,1886,0.443,294,797,0.369,367,492,0.746,343,1124,515,233,89,392,612
267,Samford,33,17,16,0.515,1.09,-1.63,6,12,11,6,5,9,2583,2487,,1355,921,1951,0.472,254,687,0.37,487,666,0.731,316,1225,461,238,127,463,560
268,San Diego State,31,19,12,0.613,4.99,2.22,11,7,14,3,4,7,2252,2116,,1240,784,1766,0.444,243,657,0.37,441,618,0.714,315,1116,452,183,103,397,580
269,San Diego,34,21,13,0.618,6.9,3.6,7,9,12,4,5,8,2469,2312,,1380,869,1891,0.46,267,761,0.351,464,622,0.746,271,1175,499,194,107,434,636
270,San Francisco,31,21,10,0.677,9.02,1.59,9,7,13,3,6,5,2358,2101,,1250,864,1852,0.467,258,728,0.354,372,568,0.655,340,1137,439,188,104,321,543
271,San Jose State,30,4,26,0.133,-15.35,1.13,1,17,4,11,0,12,1986,2447,,1210,695,1713,0.406,200,614,0.326,396,604,0.656,321,1099,413,127,50,471,517
272,Santa Clara,31,16,15,0.516,-1.46,1.37,8,8,11,6,4,6,2115,2172,,1255,735,1655,0.444,239,663,0.36,406,567,0.716,242,1026,416,146,111,433,597
273,Savannah State,30,11,19,0.367,-19.87,-8.14,8,8,6,5,4,14,2293,2623,,1205,805,2014,0.4,343,1164,0.295,340,508,0.669,366,1136,450,225,88,463,546
274,Seattle,31,18,13,0.581,-0.7,-3.74,6,10,12,5,4,8,2277,2126,,1250,800,1823,0.439,224,601,0.373,453,635,0.713,310,1144,365,136,111,382,621
275,Seton Hall,30,18,12,0.6,10.84,8.68,9,9,11,4,3,8,2214,2149,,1215,786,1771,0.444,209,643,0.325,433,606,0.715,310,1061,410,211,120,385,548
